単語,意味
Do you have the time?,今何時ですか？
Do you have time?,今暇ですか？
make yourself at home,どうぞくつろいでください
the apple of my eye,目に入れても痛くない
Why don't you give a go?,Why don't you try
fair-weather friend,都合のいい時だけの友達
a flash in the pan,一発屋
How can I help you?,(電話)ご用件は？
May I ask who's calling?,(電話)どちら様でしょうか？
I'd like to speak to Ms Taylor.,(電話)テイラーさんをお願い致します
May I leave a message?,伝言をお願い出来ますか？
Does everybody have it?,皆さんお手元にお持ちですか？
We're running out of time.,時間がなくなってきました
It's no trouble.,thank you に対して
Is there any chance of rain?,雨の見込みはありますか？
Drought is the norm here.,干ばつはここでは当たり前に起こる
I'd better let you go.,電話 そろそろ切っていいよ
Help yourself.,(お菓子など)ご自由にお取りください
This weather is getting to me.,この天気には参ってしまう
There's a typhoon warning in effect until midnight.,夜まで台風警報が出ている
"If I can put in my two cents,",拙い意見を言わせてもらうと
Truer words have never been spoken.,まさにおっしゃる通りです
Little is known about how climate has changed in the past.,ほとんど知られていない
No kidding!,まさか！
Not bad.,なかなかいいよ
Yeah kind of.,うん、まあね。←楽しかった？に対して
It's on me.,僕がおごるよ
Give it a try!,やってごらん
Please don't rush me.,せかさないでください
cold turkey,quit something
the (one's) Adam's apple,喉仏
la-la land,粋で魅力的なロサンゼルス
get under one's skin,イライラさせる
square off,身構える
Capitol Hill,キャピトールヒル、ワシントンD.C 国会議事堂のある丘、米国議会
BYOD,Bring Your Own Device
a few/a little,肯定的 少しはある
few/little,否定的 少ししかない ほとんどない
once in two weeks once in four years,2週間、4年(複数)
once a month once a year,1ヶ月、1年に一度
